rank,player,goals,team
1,miroslav klose,16,germany
2,ronaldo,15,brazil
3,gerd mueller,14,germany
4,just fontaine,13,france
4,lionel messi,13,argentina
6,kylian mbappé,12,france
6,pelé,12,brazil
8,juergen klinsmann,11,germany
8,sandor kocsis,11,hungary
10,gabriel batistuta,10,argentina
10,teofilo cubillas,10,peru
10,grzegorz lato,10,poland
10,gary lineker,10,england
10,thomas müller,10,germany
10,helmut rahn,10,germany
16,ademir,9,brazil
16,roberto baggio,9,italy
16,eusebio,9,portugal
16,jairzinho,9,brazil
16,paolo rossi,9,italy
16,karl-heinz rummenigge,9,germany
16,uwe seeler,9,germany
16,vava,9,brazil
16,christian vieri,9,italy
16,david villa,9,spain
26,harry kane,8,england
26,leonidas,8,brazil
26,diego maradona,8,argentina
26,oscar miguez,8,uruguay
26,neymar jr.,8,brazil
26,rivaldo,8,brazil
26,cristiano ronaldo,8,portugal
26,guillermo stabile,8,argentina
26,rudi voeller,8,germany
35,careca,7,brazil
35,oldrich nejedly,7,czech republic
35,johnny rep,7,netherlands
35,hans schaefer,7,germany
35,luis suarez,7,uruguay
35,andrzej szarmach,7,poland
35,lajos tichy,7,hungary
42,bebeto,6,brazil
42,dennis bergkamp,6,netherlands
42,zbigniew boniek,6,poland
42,diego forlan,6,uruguay
42,asamoah gyan,6,ghana
42,helmut haller,6,germany
42,thierry henry,6,france
42,sepp huegi,6,switzerland
42,mario kempes,6,argentina
42,lothar matthaeus,6,germany
42,max morlock,6,germany
42,ivan perisic,6,croatia
42,erich probst,6,austria
42,rob rensenbrink,6,netherlands
42,rivelino,6,brazil
42,arjen robben,6,netherlands
42,james rodríguez,6,colombia
42,oleg salenko,6,russia
42,gyorgy sarosi,6,hungary
42,salvatore schillaci,6,italy
42,wesley sneijder,6,netherlands
42,hristo stoichkov,6,bulgaria
42,davor suker,6,2 national teams
42,enner valencia,6,ecuador
42,robin van persie,6,netherlands
67,alessandro altobelli,5,italy
67,kennet andersson,5,sweden
67,franz beckenbauer,5,germany
67,emilio butragueño,5,spain
67,tim cahill,5,australia
67,edinson cavani,5,uruguay
67,pedro cea,5,uruguay
67,landon donovan,5,usa
67,garrincha,5,brazil
67,olivier giroud,5,france
67,fernando hierro,5,spain
67,gonzalo higuain,5,argentina
67,geoff hurst,5,england
67,valentin ivanov,5,russia
67,hans krankl,5,austria
67,henrik larsson,5,sweden
67,romelu lukaku,5,belgium
67,mario mandzukic,5,croatia
67,peter mcparland,5,northern ireland
67,roger milla,5,cameroon
67,fernando morientes,5,spain
67,johan neeskens,5,netherlands
67,silvio piola,5,italy
67,michel platini,5,france
67,lukas podolski,5,germany
67,raul,5,spain
67,romario,5,brazil
67,juan schiaffino,5,uruguay
67,xherdan shaqiri,5,switzerland
67,tomas skuhravy,5,czech republic
67,jon dahl tomasson,5,denmark
67,marc wilmots,5,belgium
67,zico,5,brazil
67,zinedine zidane,5,france
67,gyula zsengeller,5,hungary
